Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Blueberry Danish - Danish (113g),Beyu Blue Coffee,401,19,11,0,95,300,0,50,1,16,8
Blueberry Muffin - Muffin (113g),Beyu Blue Coffee,482,27,5,0,100,620,55,57,0,34,6
Cheese Danish - Danish (43g),Beyu Blue Coffee,160,9,0,0,40,10,0,17,0,3,3
Cherry Danish - Danish (145g),Beyu Blue Coffee,386,12,7,0,55,310,0,64,2,29,6
Chocolate Chip Muffin - Muffin (113g),Beyu Blue Coffee,502,28,7,0,90,510,50,59,2,37,7
Croissant - Croissant (91g),Beyu Blue Coffee,379,20,11,0,55,480,0,44,2,5,8
Orange Cranberry Muffin - Muffin (113g),Beyu Blue Coffee,482,23,4.5,0,75,530,0,63,1,41,5
Plain Bagel - Bagel (99g),Beyu Blue Coffee,260,1,0,0,0,430,80,54,2,3,10
Au Lait Oat Milk - 8 oz (227g),Beyu Blue Coffee,43,0.5,0,0,0,40,45,8,0,6,1
Au Lait Skim Milk - 16 oz (454g),Beyu Blue Coffee,45,0,0,0,5,70,210,7,0,7,4
Au Lait Whole Milk - 16 oz (454g),Beyu Blue Coffee,89,4.5,3,0,20,85,190,7,0,6,5
Coffee - 12 oz (340g),Beyu Blue Coffee,0,0,0,0,0,15,0,0,0,0,0
Mexican Coffee - 8 oz (227g),Beyu Blue Coffee,27,0,0,0,0,10,0,7,0,6,0
Iced Au Lait Oat Milk - 16 oz (454g),Beyu Blue Coffee,73,1,0,0,0,65,75,14,1,10,2
Iced Au Lait Skim Milk - 24 oz (680g),Beyu Blue Coffee,64,0,0,0,5,90,300,10,0,10,6
Iced Au Lait Whole Milk - 16 oz (454g),Beyu Blue Coffee,83,4.5,3,0,20,75,180,7,0,6,4
Iced Coffee - 20 oz (567g),Beyu Blue Coffee,0,0,0,0,0,15,0,0,0,0,0
Iced Mexican Coffee - 20 oz (567g),Beyu Blue Coffee,69,0,0,0,0,20,0,17,0,15,0
NItro Cold Brew - 16 oz (454g),Beyu Blue Coffee,0,0,0,0,0,20,0,0,0,0,0
Chai Latte Oat Milk - 16 oz (454g),Beyu Blue Coffee,267,2,0,0,0,110,135,57,3,47,4
Chai Latte Skim Milk - 12 oz (340g),Beyu Blue Coffee,159,0,0,0,5,80,280,33,2,31,6
Chai Latte Whole Milk - 16 oz (454g),Beyu Blue Coffee,287,8,5,0,35,125,320,45,2,41,8
Hot Chocolate Oat Milk - 8 oz (227g),Beyu Blue Coffee,167,2,0,0,0,105,125,35,1,26,4
Hot Chocolate Skim Milk - 16 oz (454g),Beyu Blue Coffee,252,0,0,0,10,200,670,49,0,46,15
Hot Chocolate Whole Milk - 8 oz (227g),Beyu Blue Coffee,190,7,4.5,0,30,120,300,24,0,21,8
Mango Smoothie - 24 oz (680g),Beyu Blue Coffee,791,42,30,0,170,40,180,102,3,87,0
Matcha Latte Oat Milk - 16 oz (454g),Beyu Blue Coffee,286,4,0,0,0,200,300,60,9,36,8
Matcha Latte Skim Milk - 16 oz (454g),Beyu Blue Coffee,201,0,0,0,10,190,750,40,11,27,14
Matcha Latte Whole Milk - 12 oz (340g),Beyu Blue Coffee,253,11,7,0,50,170,500,30,8,20,11
Pineapple Smoothie - 24 oz (680g),Beyu Blue Coffee,791,42,30,0,170,40,380,102,3,85,0
Steamer Oat Milk - 16 oz (454g),Beyu Blue Coffee,256,4,0,0,0,210,260,49,2,33,8
Steamer Skim Milk - 16 oz (454g),Beyu Blue Coffee,151,0,0,0,10,190,720,23,0,23,15
Steamer Whole Milk - 12 oz (340g),Beyu Blue Coffee,222,12,7,0,50,180,480,18,0,16,12
Strawberry Smoothie - 24 oz (680g),Beyu Blue Coffee,791,42,30,0,170,70,140,102,3,87,0
White Hot Chocolate Oat Milk - 16 oz (454g),Beyu Blue Coffee,296,4,0,0,0,230,250,59,2,42,8
White Hot Chocolate Skim Milk - 16 oz (454g),Beyu Blue Coffee,201,0,0,0,10,220,700,34,0,32,15
White Hot Chocolate Whole Milk - 8 oz (227g),Beyu Blue Coffee,170,8,5,0,35,130,310,17,0,15,8
Iced Chai Latte Oat Milk - 16 oz (454g),Beyu Blue Coffee,160,1,0,0,0,65,85,34,2,28,2
Iced Chai Latte Skim Milk - 16 oz (454g),Beyu Blue Coffee,129,0,0,0,5,60,220,26,1,25,4
Iced Chai Latte Whole Milk - 16 oz (454g),Beyu Blue Coffee,172,4.5,3,0,20,75,190,27,1,25,5
Iced Matcha Latte Oat Milk - 20 oz (567g),Beyu Blue Coffee,249,3,0,0,0,160,260,55,12,31,6
Iced Matcha Latte Skim Milk - 24 oz (680g),Beyu Blue Coffee,203,0,0,0,10,180,740,41,13,27,14
Iced Matcha Latte Whole Milk - 24 oz (680g),Beyu Blue Coffee,337,15,9,0,65,220,660,42,13,26,15
Mango Smoothie - 20 oz (567g),Beyu Blue Coffee,659,35,25,0,140,35,150,85,2,73,0
Pineapple Smoothie - 16 oz (454g),Beyu Blue Coffee,527,28,20,0,115,30,250,68,2,56,0
Strawberry Smoothie - 20 oz (567g),Beyu Blue Coffee,659,35,25,0,140,60,120,85,2,73,0
Caramello Oat Milk 8 oz - 12 oz (340g),Beyu Blue Coffee,225,3,0,0,0,140,170,46,1,34,5
Caramello Skim Milk - 12 oz (340g),Beyu Blue Coffee,172,0.5,0,0,5,130,430,32,0,30,9
Caramello Whole Milk - 8 oz (227g),Beyu Blue Coffee,169,7,4,0,25,105,260,21,0,19,7
Cocoaccino Oat Milk - 16 oz (454g),Beyu Blue Coffee,269,3.5,0,0,0,180,230,55,2,40,7
Cocoaccino Skim Milk - 8 oz (227g),Beyu Blue Coffee,92,0,0,0,5,85,300,17,0,16,6
Cocoaccino Whole Milk - 8 oz (227g),Beyu Blue Coffee,152,7,4,0,30,105,270,17,0,15,7
Dirty Chai Oat Milk - 12 oz (340g),Beyu Blue Coffee,174,1.5,0,0,0,75,95,37,2,30,3
Dirty Chai Skim Milk - 12 oz (340g),Beyu Blue Coffee,137,0,0,0,5,70,250,28,2,26,5
Dirty Chai Whole Milk - 16 oz (454g),Beyu Blue Coffee,248,7,4.5,0,30,110,300,38,2,35,7
Iced Caramello Oat Milk - 16 oz (454g),Beyu Blue Coffee,228,3,0,0,0,140,170,46,1,35,5
Iced Caramello Skim Milk - 16 oz (454g),Beyu Blue Coffee,163,0.5,0,0,5,135,450,30,0,28,10
Iced Caramello Whole Milk - 16 oz (454g),Beyu Blue Coffee,252,10,6,0,40,160,400,30,0,27,10
La Vanilla Oat Milk - 16 oz (454g),Beyu Blue Coffee,443,2.5,0,0,0,140,190,101,1,90,5
La Vanilla Skim Milk - 12 oz (340g),Beyu Blue Coffee,301,0,0,0,5,95,350,68,0,68,7
La Vanilla Whole Milk - 8 oz (227g),Beyu Blue Coffee,242,5,3,0,25,80,210,44,0,43,5
Mexican Latte Oat Milk - 12 oz (340g),Beyu Blue Coffee,202,2.5,0,0,0,135,170,41,1,30,5
Mexican Latte Skim Milk - 16 oz (454g),Beyu Blue Coffee,187,0,0,0,10,160,590,34,0,33,13
Mexican Latte Whole Milk - 12 oz (340g),Beyu Blue Coffee,226,10,6,0,40,150,390,26,0,24,10
Mint 2 B U Oat Milk - 16 oz (454g),Beyu Blue Coffee,272,3.5,0,0,0,180,230,55,2,41,7
Mint 2 B U Skim Milk - 16 oz (454g),Beyu Blue Coffee,187,0,0,0,10,170,610,34,0,33,13
Mint 2 B U Whole Milk - 12 oz (340g),Beyu Blue Coffee,261,2,1,0,10,55,110,60,0,55,3
Oprah Mocha Oat Milk - 16 oz (454g),Beyu Blue Coffee,294,3.5,0,0,0,200,220,60,2,45,7
Oprah Mocha Skim Milk - 16 oz (454g),Beyu Blue Coffee,218,0,0,0,5,190,580,41,0,38,13
Oprah Mocha Whole Milk - 12 oz (340g),Beyu Blue Coffee,247,10,6,0,40,170,390,31,0,27,10
Turtle Mocha Oat Milk - 8 oz (227g),Beyu Blue Coffee,145,2,0,0,0,95,110,30,1,22,4
Turtle Mocha Skim Milk - 16 oz (454g),Beyu Blue Coffee,213,0,0,0,5,170,580,40,0,37,13
Turtle Mocha Whole Milk - 8 oz (227g),Beyu Blue Coffee,163,6,4,0,30,105,260,20,0,18,7
Iced Cocoaccino Oat Milk - 16 oz (454g),Beyu Blue Coffee,186,2,0,0,0,120,150,38,1,29,5
Iced Cocoaccino Skim Milk - 20 oz (567g),Beyu Blue Coffee,162,0,0,0,5,140,510,30,0,28,11
Iced Cocoaccino Whole Milk - 20 oz (567g),Beyu Blue Coffee,261,11,7,0,50,170,450,30,0,28,11
Iced Dirty Chai Oat Milk - 16 oz (454g),Beyu Blue Coffee,141,1,0,0,0,60,80,30,2,25,2
Iced Dirty Chai Skim Milk - 20 oz (567g),Beyu Blue Coffee,141,0,0,0,5,70,250,29,2,27,5
Iced Dirty Chai Whole Milk - 20 oz (567g),Beyu Blue Coffee,189,5,3.5,0,25,85,220,29,2,27,5
Iced La Vanilla Oat Milk - 20 oz (567g),Beyu Blue Coffee,241,3,0,0,0,170,220,48,2,36,6
Iced La Vanilla Skim Milk - 20 oz (567g),Beyu Blue Coffee,160,0,0,0,10,160,610,27,0,27,12
Iced La Vanilla Whole Milk - 16 oz (454g),Beyu Blue Coffee,217,10,6,0,45,150,410,22,0,21,10
Iced Mexican Latte Oat Milk - 16 oz (454g),Beyu Blue Coffee,213,2.5,0,0,0,140,170,44,1,33,5
Iced Mexican Latte Skim Milk - 16 oz (454g),Beyu Blue Coffee,146,0,0,0,5,130,460,27,0,26,10
Iced Mexican Latte Whole Milk - 20 oz (567g),Beyu Blue Coffee,298,12,8,0,55,200,520,34,0,31,13
Iced Mint 2 B U Oat Milk - 16 oz (455g),Beyu Blue Coffee,189,2,0,0,0,120,150,39,1,30,5
Iced Mint 2 B U Skim Milk - 20 oz (567g),Beyu Blue Coffee,235,2.5,0,0,0,150,190,49,1,37,6
Iced Mint 2 B U Whole Milk - 20 oz (567g),Beyu Blue Coffee,144,1,0.5,0,5,30,55,34,0,31,2
Iced Oprah Mocha Oat Milk - 20 oz (567g),Beyu Blue Coffee,295,3.5,0,0,0,200,220,61,1,45,7
Iced Oprah Mocha Skim Milk - 20 oz (567g),Beyu Blue Coffee,213,0,0,0,5,190,570,40,0,37,13
Iced Oprah Mocha Whole Milk - 16 oz (454g),Beyu Blue Coffee,260,10,6,0,40,180,400,33,0,29,10
Iced Turtle Mocha Oat Milk - 20 oz (567g),Beyu Blue Coffee,290,3.5,0,0,0,180,220,60,1,45,7
Iced Turtle Mocha Skim Milk - 20 oz (567g),Beyu Blue Coffee,184,0,0,0,5,150,500,35,0,32,11
Iced Turtle Mocha Whole Milk - 20 oz (567g),Beyu Blue Coffee,320,13,8,0,55,200,500,40,0,36,13
Americano - 8 oz (227g),Beyu Blue Coffee,0,0,0,0,0,10,10,0,0,0,0
Cappuccino Oat Milk - 16 oz (454g),Beyu Blue Coffee,178,2.5,0,0,0,150,210,34,1,23,5
Cappuccino Skim Milk - 8 oz (227g),Beyu Blue Coffee,52,0,0,0,5,70,260,8,0,8,5
Cappuccino Whole Milk - 16 oz (454g),Beyu Blue Coffee,203,11,7,0,45,170,460,16,0,15,11
Cortado Oat Milk - 5 oz (151g),Beyu Blue Coffee,54,1,0,0,0,45,65,10,0,7,2
Cortado Skim Milk - 5 oz (142g),Beyu Blue Coffee,30,0,0,0,0,40,150,4,0,4,3
Cortado Whole Milk - 5 oz (142g),Beyu Blue Coffee,58,3,2,0,15,50,135,5,0,4,3
Espresso - Portion (52g),Beyu Blue Coffee,0,0,0,0,0,0,10,0,0,0,0
Flat White Oat Milk - 8 oz (227g),Beyu Blue Coffee,101,1.5,0,0,0,85,110,19,1,13,3
Flat White Skim Milk - 8 oz (227g),Beyu Blue Coffee,50,0,0,0,5,65,250,7,0,7,5
Flat White Whole Milk - 8 oz (227g),Beyu Blue Coffee,101,5,3.5,0,25,80,230,8,0,7,5
Latte Oat Milk - 8 oz (227g),Beyu Blue Coffee,110,1.5,0,0,0,90,120,21,1,14,3
Latte Skim Milk - 8 oz (227g),Beyu Blue Coffee,63,0,0,0,5,80,310,9,0,9,6
Latte Whole Milk - 12 oz (340g),Beyu Blue Coffee,188,10,6,0,45,150,410,15,0,14,10
Macchiato Oat Milk - Portion (55g),Beyu Blue Coffee,2,0,0,0,0,0,10,0,0,0,0
Macchiato Skim Milk - Portion (58g),Beyu Blue Coffee,1,0,0,0,0,0,15,0,0,0,0
Macchiato Whole Milk - Portion (58g),Beyu Blue Coffee,2,0,0,0,0,0,15,0,0,0,0
Mocha Oat Milk - 8 oz (227g),Beyu Blue Coffee,144,1.5,0,0,0,90,110,30,1,22,4
Mocha Skim Milk - 8 oz (227g),Beyu Blue Coffee,104,0,0,0,5,85,290,20,0,19,6
Mocha Whole Milk - 16 oz (454g),Beyu Blue Coffee,321,13,8,0,55,200,520,40,0,36,13
Red Eye - 16 oz (454g),Beyu Blue Coffee,0,0,0,0,0,20,10,0,0,0,0
Iced Americano - 20 oz (567g),Beyu Blue Coffee,1,0,0,0,0,0,25,0,0,0,0
Iced Cappuccino Oat Milk - 20 oz (567g),Beyu Blue Coffee,187,3,0,0,0,150,210,36,1,24,6
Iced Cappuccino Skim Milk - 20 oz (567g),Beyu Blue Coffee,110,0,0,0,5,140,540,16,0,16,11
Iced Cappuccino Whole Milk - 20 oz (567g),Beyu Blue Coffee,214,11,7,0,50,170,480,17,0,16,11
Iced Latte Oat Milk - 20 oz (567g),Beyu Blue Coffee,207,3,0,0,0,170,220,40,2,27,6
Iced Latte Skim Milk - 20 oz (567g),Beyu Blue Coffee,123,0,0,0,10,160,600,18,0,18,12
Iced Latte Whole Milk - 16 oz (454g),Beyu Blue Coffee,193,10,6,0,45,160,420,15,0,14,10
Iced Mocha Oat Milk - 16 oz (454g),Beyu Blue Coffee,230,2.5,0,0,0,140,170,48,1,36,6
Iced Mocha Skim Milk - 16 oz (454g),Beyu Blue Coffee,165,0,0,0,5,135,460,32,0,30,10
Iced Mocha Whole Milk - 16 oz (454g),Beyu Blue Coffee,255,10,6,0,45,160,410,32,0,29,11
Iced Red Eye - 20 oz (567g),Beyu Blue Coffee,0,0,0,0,0,15,10,0,0,0,0
Caramel Syrup - 1 Pump (20g),Beyu Blue Coffee,70,0.5,0,0,0,20,0,15,0,13,1
Cinnamon Syrup - 1 Pump Portion (10g),Beyu Blue Coffee,27,0,0,0,0,0,0,6,0,6,0
Creamer - 1/2 fl oz (14g),Beyu Blue Coffee,20,1.5,1,0,5,10,20,0,0,0,0
Dark Chocolate Syrup - 2 Pump (1814g),Beyu Blue Coffee,6400,0,0,0,0,960,0,1600,0,1408,64
Lite Whipped Dairy Topping - Tablespoon (3g),Beyu Blue Coffee,8,0.5,0.5,0,0,0,0,0,0,0,0
Peppermint Syrup - 1 Pump Portion (10g),Beyu Blue Coffee,32,0,0,0,0,0,0,8,0,8,0
Sugar Free Caramel Syrup - 1/2 Pump Portion (5g),Beyu Blue Coffee,0,0,0,0,0,0,0,0,0,0,0
Sugar Free Vanilla Syrup - 1 Pump Portion (10g),Beyu Blue Coffee,0,0,0,0,0,0,0,0,0,0,0
Vanilla Syrup - 1/2 Pump Portion (5g),Beyu Blue Coffee,14,0,0,0,0,0,0,3,0,3,0
White Chocolate Syrup - 2 Pump (40g),Beyu Blue Coffee,155,0.5,0,0,0,100,0,35,0,30,1
