Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Apple Tart - Tart (179g),Bseisu Coffee Bar,447,22,10,0,10,420,0,57,2,24,4
Blueberry Bagel - Bagel (128g),Bseisu Coffee Bar,320,1.5,0,0,0,580,90,65,2,4,12
Buttermilk Blueberry Muffin - Muffin (113g),Bseisu Coffee Bar,401,19,3,0,60,350,0,52,1,31,5
Cinnamon Raisin Bagel - Bagel (128g),Bseisu Coffee Bar,320,1.5,0,0,0,580,90,65,2,4,12
Double Chocolate Chunk Muffin - Muffin (113g),Bseisu Coffee Bar,401,19,5,0,55,290,0,57,3,37,5
Lemon Cranberry Muffin - Muffin (113g),Bseisu Coffee Bar,385,17,3.5,0,65,340,75,53,1,30,5
Plain Bagel - Bagel (128g),Bseisu Coffee Bar,320,1.5,0,0,0,580,90,65,2,4,12
Americano - 12 oz (340g),Bseisu Coffee Bar,1,0,0,0,0,0,0,0,0,0,0
Cafe Au Lait 2% Milk - 16 oz (454g),Bseisu Coffee Bar,111,4.5,2.5,0,20,115,310,11,0,11,7
Cafe Au Lait Soy Milk - 20 oz (567g),Bseisu Coffee Bar,137,5,0.5,0,0,5,370,11,0,8,9
Cafe Latte 2% Milk - 16 oz (454g),Bseisu Coffee Bar,214,9,5,0,35,210,610,21,0,21,14
Cafe Latte Soy Milk - 16 oz (454g),Bseisu Coffee Bar,168,7,1,0,0,0,470,13,0,10,12
Cafe Mocha 2% Milk - 20 oz (567g),Bseisu Coffee Bar,598,10,5,0,35,200,560,120,8,108,17
Cafe Mocha Soy Milk - 16 oz (454g),Bseisu Coffee Bar,329,7,1,0,0,0,430,56,3,47,13
Cappuccino 2% Milk - 20 oz (567g),Bseisu Coffee Bar,260,11,6,0,45,260,740,26,0,26,17
Cappuccino Soy Milk - 12 oz (340g),Bseisu Coffee Bar,131,5,0.5,0,0,0,360,10,0,8,9
Chai Latte 2% Milk - 12 oz (340g),Bseisu Coffee Bar,193,3.5,2,0,15,95,260,33,2,32,6
Chai Latte Soy Milk - 12 oz (340g),Bseisu Coffee Bar,176,2.5,0,0,0,0,200,31,2,28,5
Espresso Shot - Shot (28g),Bseisu Coffee Bar,0,0,0,0,0,0,0,0,0,0,0
Hot Tea - 12 oz (340g),Bseisu Coffee Bar,0,0,0,0,0,0,3400,0,0,0,0
Iced Coffee - 16 oz (454g),Bseisu Coffee Bar,5,0,0,0,0,10,0,0,0,0,0
Peach Paradise Smoothie - 16 oz (454g),Bseisu Coffee Bar,276,0,0,0,0,15,110,73,2,70,1
Strawberry Breeze Smoothie - 16 oz (454g),Bseisu Coffee Bar,328,0,0,0,0,15,250,90,3,86,1
Caramel Syrup - Shot (7g),Bseisu Coffee Bar,22,0,0,0,0,0,0,5,0,5,0
Cinnamon Syrup - Shot (7g),Bseisu Coffee Bar,25,0,0,0,0,0,0,6,0,6,0
Hazelnut Syrup - Shot (7g),Bseisu Coffee Bar,20,0,0,0,0,0,0,5,0,5,0
Semi Sweet Chocolate Sauce - Shot (14g),Bseisu Coffee Bar,50,0,0,0,0,0,0,12,1,11,0
Vanilla Syrup - Shot (7g),Bseisu Coffee Bar,20,0,0,0,0,0,0,5,0,5,0
Whipped Topping - 2 Tablespoon (6g),Bseisu Coffee Bar,15,1,1,0,5,0,0,1,0,1,0
