Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Bacon Swiss and Arugula Egg Bite - 2.7 oz Portion (77g),Cafe,181,15,7,0,220,390,120,2,0,0,9
Spinach Feta Roasted Red Pepper Egg Bite - 2.9 oz Portion (82g),Cafe,164,14,7,0,205,410,120,2,0,1,7
Bacon Egg and Cheese Croissant - Sandwich (257g),Cafe,840,58,25,0,520,1480,510,33,1,6,44
Zaatar Croissant - Croissant (90g),Cafe,327,18,9,0,60,240,95,34,2,6,5
Egg and Cheese Croissant - Sandwich (138g),Cafe,426,26,13,0,260,340,160,31,1,6,15
Chocolate Croissant - Croissant (148g),Cafe,465,24,15,0,65,240,140,53,2,10,7
Plain Croissant - Croissant (85g),Cafe,315,16,10,0,45,170,95,36,1,7,5
Greek Scrambler - Burrito (272g),Cafe,627,35,14,0,425,1240,280,50,2,2,30
Broccoli Quiche - Slice (271g),Cafe,693,51,26,3,295,830,290,37,4,3,18
Quiche Lorraine - Slice (237g),Cafe,670,48,23,3,300,1040,130,33,2,3,23
Brown Sugar - 1.5 oz Portion (43g),Cafe,159,0,0,0,0,0,0,42,0,42,0
Granola Parfait - Parfait (291g),Cafe,429,4,1,0,15,105,55,77,5,51,25
Organic Oatmeal - 2.3 oz Portion (65g),Cafe,247,4.5,1,0,0,0,0,44,7,1,9
Raisins - 1.5 oz Portion (43g),Cafe,129,0,0,0,0,5,0,34,2,25,1
Apple and Brie Crepe - Crepe (374g),Cafe,933,57,32,0,275,1550,190,71,3,32,36
Chocolate Crepe - Crepe (194g),Cafe,610,30,17,0,130,590,280,77,1,38,12
Chocolate Crepe with Strawberries - Crepe (250g),Cafe,568,26,15,0,130,590,240,73,1,34,12
Cinnamon Sugar Crepe - 15oz (178g),Cafe,486,23,13,0,160,600,180,58,4,18,12
Cinnamon Sugar Crepe with Banana - 15oz (235g),Cafe,551,23,13,0,160,600,350,73,2,38,12
Croque Monsieur Crepe - Crepe (321g),Cafe,829,49,21,0,260,2340,150,44,1,7,51
Florentine Crepe - Crepe (330g),Cafe,804,51,21,0,395,3540,330,46,2,6,38
Plain Crepe - Crepe (137g),Cafe,346,14,8,0,130,590,125,39,1,4,12
Banana - Banana (118g),Cafe,114,0,0,0,0,0,380,27,2,0,1
Homemade Whipped Cream - .5 oz Portion (165g),Cafe,581,53,37,0,215,55,160,22,0,12,0
Strawberry - 2 oz Portion (57g),Cafe,19,0,0,0,0,0,0,4,0,3,0
Grilled Ratatouille Panini - Sandwich (351g),Cafe,787,27,12,0,40,1050,330,109,5,6,27
The Toscana - Sandwich (343g),Cafe,950,59,20,0,125,1980,220,69,3,3,37
Greek Salad - Salad (458g),Cafe,785,75,18,0,25,1820,270,27,8,8,9
Salmon Bowl - Bowl (432g),Cafe,692,44,9,0,100,770,1020,39,5,16,40
Salmon Garden Salad - Salad (743g),Cafe,594,41,8,0,60,690,660,27,14,7,28
Vegan Buddah Bowl - Bowl (530g),Cafe,765,37,7,0,0,1060,1170,90,16,11,24
Dijonaise - 2 oz Portion (56g),Cafe,251,26,4.5,0,20,680,0,0,0,0,0
Jalapeno Aioli - 2 oz Portion (55g),Cafe,379,42,8,0,40,390,0,0,0,0,0
White French Dressing - 2 oz Portion (57g),Cafe,214,22,3.5,0,25,210,45,2,0,1,1
Classic Lasagna - Portion (385g),Cafe,624,38,19,0,120,970,210,32,2,4,40
Gourmet Mac N Cheese - 10 oz Portion (283g),Cafe,518,27,17,0,90,640,240,49,2,5,18
Tomato Basil Bisque - 7 oz Portion (197g),Cafe,152,10,7,0,40,780,45,12,1,5,3
Apple Moroccan Couscous - 8 oz Portion (133g),Cafe,273,17,3.5,0,0,15,70,32,3,15,3
Farm Fresh Eggs - 2 Egg Portion (92g),Cafe,142,10,3,0,340,115,115,1,0,1,11
Feta Cilantro Bowtie Salad - 6 oz Portion (169g),Cafe,521,21,5,0,10,200,160,73,3,4,12
Fruit Cup - 8 oz Portion (220g),Cafe,95,0,0,0,0,25,210,24,2,21,2
Garbanzo Greek Salad - 5 oz Portion (141g),Cafe,174,13,3.5,0,10,450,75,14,3,2,5
Hummus and Pita Crisp - Portion (201g),Cafe,500,36,4,0,0,1420,180,35,4,1,10
Hummus and Pita Cup - Container (170g),Cafe,379,26,3,0,0,1090,180,27,4,1,9
Mediterranean Snack Box - 15 oz Portion (428g),Cafe,630,38,5,0,0,1860,850,58,12,8,19
Penne Pesto Salad - 5 oz Portion (142g),Cafe,256,9,2.5,0,5,660,110,36,2,1,9
Pita Crisps - 5.7 oz Portion (162g),Cafe,622,45,3.5,0,0,1990,15,45,3,0,8
Strawberry Fruit Cup - Container (170g),Cafe,58,0,0,0,0,0,0,13,0,9,1
Falafel on Pita - Pita (330g),Cafe,577,25,4.5,0,0,1120,510,68,9,8,22
Hummus Veggie Wrap - Wrap (310g),Cafe,492,20,5,0,0,1240,360,66,6,3,14
Apple and Brie Crepe - Crepe (374g),Cafe,933,57,32,0,275,1550,190,71,3,32,36
Croque Monsieur Crepe - Crepe (321g),Cafe,829,49,21,0,260,2340,150,44,1,7,51
Florentine Crepe - Crepe (330g),Cafe,804,51,21,0,395,3540,330,46,2,6,38
Banana - Banana (118g),Cafe,114,0,0,0,0,0,380,27,2,0,1
Homemade Whipped Cream - .5 oz Portion (165g),Cafe,581,53,37,0,215,55,160,22,0,12,0
Strawberry - 2 oz Portion (57g),Cafe,19,0,0,0,0,0,0,4,0,3,0
Black and White Cookie - Cookie (84g),Cafe,376,21,13,0,70,210,80,44,1,33,3
Cheesecake Brownie - Portion (140g),Cafe,596,34,20,0,140,190,290,68,4,89,7
