Food Name,Restaurant,Food Type,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Brown Rice - 7.5 oz Portion (170g),Ginger and Soy,Base,189,1.5,0,0,0,10,0,39,3,0,5
Fried Rice - 7.5 oz Portion (213g),Ginger and Soy,Base,235,3,1,0,50,540,70,43,1,0,7
White Rice - 7.5 oz Portion (213g),Ginger and Soy,Base,219,0,0,0,0,0,60,47,1,0,4
Greens - 2.2 oz Portion (48g),Ginger and Soy,Base,10,0,0,0,0,15,0,3,1,1,1
Pad Thai - 12.5 oz Portion (353g),Ginger and Soy,Base,344,4,1,0,125,1780,1260,64,9,31,13
Teriyaki Tofu - 4.5 oz Portion (128g),Ginger and Soy,Protein,186,5,0.5,0,0,760,0,28,1,22,9
Bubu Arare - .2 oz Portion (6g),Ginger and Soy,Toppings,23,0,0,0,0,0,0,5,0,5,1
Cilantro - .1 oz Portion (3g),Ginger and Soy,Toppings,1,0,0,0,0,0,15,0,0,0,0
Crab Salad - 2 oz Portion (57g),Ginger and Soy,Toppings,132,9,1.5,0,10,300,0,7,0,3,5
Green Onion - .2 oz Portion (6g),Ginger and Soy,Toppings,3,0,0,0,0,15,15,0,0,0,0
Kale Salad - .5 oz Portion (14g),Ginger and Soy,Toppings,13,0,0,0,0,20,0,2,0,2,0
Kimchi Slaw - 1.5 oz Portion (43g),Ginger and Soy,Toppings,59,4,0.5,0,5,280,40,5,1,3,1
Pickled Carrot - 1 oz Portion (43g),Ginger and Soy,Toppings,28,0,0,0,0,340,70,7,1,6,0
Pickled Radish - 1 oz Portion (28g),Ginger and Soy,Toppings,13,0,0,0,0,190,35,3,0,3,0
Seasoned Broccoli - 2 oz Portion (57g),Ginger and Soy,Toppings,20,0,0,0,0,25,170,4,2,1,1
Seasoned Corn - 1.5 oz Portion (43g),Ginger and Soy,Toppings,38,0.5,0,0,0,100,100,8,1,1,1
Shelled Edamame - 1 oz Portion (28g),Ginger and Soy,Toppings,40,1.5,0,0,0,0,0,3,0,0,4
Spicy Cucumber - 1.5 oz Portion (43g),Ginger and Soy,Toppings,9,0,0,0,0,40,55,1,0,1,0
Stir-Fried Cabbage & Red Pepper - 1.5 oz Portion (43g),Ginger and Soy,Toppings,26,2,0,0,0,310,65,2,1,1,0
Stir-Fried Zucchini - 2 oz Portion (57g),Ginger and Soy,Toppings,12,0,0,0,0,20,150,2,0,1,1
Sweet Potato - 1.5 oz Portion (43g),Ginger and Soy,Toppings,81,3.5,0,0,0,180,80,11,1,1,0
Marinated Egg - Portion (20g),Ginger and Soy,Toppings,30,1.5,0,0,65,160,20,2,0,1,2
Sesame Oil - .1 oz Portion (3g),Ginger and Soy,Sauce,26,3,0,0,0,0,0,0,0,0,0
Spicy Mayo - .5 oz Portion (14g),Ginger and Soy,Sauce,86,9,1,0,10,80,0,2,0,1,0
Lemonaise Dill Sauce - .5 oz Portion (14g),Ginger and Soy,Sauce,87,9,1,0,10,55,0,3,0,2,0
Sriracha - .5 oz Portion (14g),Ginger and Soy,Sauce,14,0,0,0,0,170,0,3,0,3,0
White Sauce - .5 oz Portion (14g),Ginger and Soy,Sauce,76,8,1,0,5,50,0,1,0,0,0
Sambal Sauce - .5 oz Portion (14g),Ginger and Soy,Sauce,18,0,0,0,0,230,20,4,0,4,0
Eel Sauce - 0.5 oz Portion (15g),Ginger and Soy,Sauce,27,0,0,0,0,290,0,6,0,5,1
Gochujang Sauce - 0.5 oz Portion (37g),Ginger and Soy,Sauce,63,0.5,0,0,0,430,20,14,0,7,1
Teriyaki Sauce - .5 oz Portion (14g),Ginger and Soy,Sauce,20,0,0,0,0,260,0,4,0,4,1
