Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Pepperoni Calzone - Calzone (469g),Gothic Grill,1205,69,33,0,150,2860,20,90,4,8,63
Veggie Calzone - Calzone (550g),Gothic Grill,1090,56,29,0,115,2400,250,99,5,13,61
Crispy Cauliflower - 5.5 oz Portion (158g),Gothic Grill,381,28,3,0,0,820,300,30,3,2,3
Fried Shrimp - 4 oz Portion (125g),Gothic Grill,284,19,3,0,100,470,65,16,0,0,11
Sweet Potato Waffle Fries - 4.5 oz Portion (128g),Gothic Grill,385,28,2.5,0,0,430,450,33,4,8,1
Macaroni and Cheese Cup - 6.5 oz Portion (184g),Gothic Grill,357,20,12,0,65,1020,250,28,1,4,13
Mozzarella Sticks - 6 oz Portion (195g),Gothic Grill,643,42,12,0,60,1830,0,44,2,4,24
Bavarian Pretzel - Portion (283g),Gothic Grill,719,10,0,0,0,1320,0,132,4,0,24
Tortilla Chips with Guacamole - 10 oz Portion (283g),Gothic Grill,725,34,19,0,0,430,960,99,12,5,14
Beer Cheese - 4 oz Portion (113g),Gothic Grill,239,18,12,0,60,850,400,8,0,10,10
Gothic Sauce - 1.3 oz Portion (105g),Gothic Grill,411,39,5,0,35,830,0,15,0,11,0
Buttermilk Ranch Dressing - 2 oz Portion (57g),Gothic Grill,201,21,3,0,20,430,50,3,0,2,1
Marinara Sauce - 3 oz Portion (85g),Gothic Grill,35,0.5,0,0,0,440,0,6,1,4,1
Buffalo Sauce - 2 oz Portion (57g),Gothic Grill,35,3.5,0,0,0,1670,0,3,0,0,0
Garlic Parmesan Sauce - 3 oz Portion (85g),Gothic Grill,213,21,0,0,0,1380,80,5,0,0,0
Honey Mustard Sauce - 2 oz Portion (57g),Gothic Grill,126,4.5,0,0,0,980,0,11,0,11,0
Umami Sauce - 2.5 oz Portion (71g),Gothic Grill,149,10,0,0,0,1130,0,13,0,8,2
Cocktail Sauce - 1 oz Portion (28g),Gothic Grill,25,0,0,0,0,340,110,6,1,5,0
Barbecue Sauce - 2 oz Portion (57g),Gothic Grill,79,0,0,0,0,280,0,17,2,0,0
Caesar Salad - Salad (376g),Gothic Grill,862,74,17,0,75,1760,420,39,5,2,28
Caprese Salad - Salad (471g),Gothic Grill,567,38,17,0,60,820,740,29,4,12,26
Broccoli and Cheese Soup - 8 oz Portion (227g),Gothic Grill,206,13,6,0,25,670,270,15,1,7,7
Tomato Basil Soup - Cup Portion (214g),Gothic Grill,227,13,5,0,30,920,780,20,2,13,7
Vegan Vegetable Soup - 8 oz Portion (227g),Gothic Grill,66,1,0,0,0,730,180,12,2,6,1
Sourdough Bread - 2 Slice Portion (86g),Gothic Grill,200,2,0,0,0,380,0,40,2,2,8
Brioche Bun - Bun (91g),Gothic Grill,270,5,1.5,0.5,10,480,0,46,2,9,9
Hamburger Bun - Bun (68g),Gothic Grill,170,2,0.5,0,0,290,0,33,1,5,5
Lettuce Wrap - 2 Pc Portion (37g),Gothic Grill,6,0,0,0,0,0,90,1,1,0,0
Sourdough Marble Rye - 2 Slice Portion (116g),Gothic Grill,319,5,0,0,0,740,0,56,4,4,12
Ciabatta Roll - Roll (91g),Gothic Grill,245,3.5,0,0,0,510,0,44,2,0,8
Italian Sub - Roll (85g),Gothic Grill,200,1,0,0,0,340,0,43,2,1,7
BLT-A Sandwich - Sandwich (274g),Gothic Grill,280,21,6,0,45,770,590,7,3,3,17
Vegetable Cheesesteak - Sandwich (258g),Gothic Grill,336,29,6,0,0,540,240,23,5,4,3
Calabash Fish Sandwich - Sandwich (243g),Gothic Grill,626,49,7,0,55,930,330,34,1,2,15
Avocado - 1/4 Avocado Portion (0g),Gothic Grill,0,0,0,0,0,0,0,0,0,0,0
Fried Egg - Egg (52g),Gothic Grill,102,8,2,0,210,110,80,0,0,0,7
Bacon - 1.5 oz Portion (43g),Gothic Grill,213,15,6,0,60,910,0,0,0,0,18
Sauteed Mushroom - 1.2 oz Portion (34g),Gothic Grill,11,0,0,0,0,5,0,1,0,0,1
Buffalo Cauliflower Wrap - Wrap (435g),Gothic Grill,1020,70,13,0,30,3140,560,85,5,7,14
Corn Tortilla - Tortilla (19g),Gothic Grill,40,0.5,0,0,0,0,0,8,1,0,1
Flour Tortilla - Tortilla (95g),Gothic Grill,293,7,3.5,0,0,560,65,48,1,1,8
Black Bean - .6 oz Portion (17g),Gothic Grill,21,0.5,0,0,0,50,50,2,1,0,1
Pico de Gallo - 3 oz Portion (85g),Gothic Grill,18,0,0,0,0,0,180,3,0,3,0
Lime Crema Sauce - 1 oz Portion (28g),Gothic Grill,90,9,2,0,10,85,35,2,0,1,0
Cilantro Slaw - .25 oz Portion (7g),Gothic Grill,6,0,0,0,0,0,0,1,0,0,0
Roasted Sweet Potato - 1.5 oz Portion (44g),Gothic Grill,80,4,0,0,0,210,140,10,1,4,1
Black Bean Burger Sandwich - Sandwich (357g),Gothic Grill,457,13,2.5,0,0,1150,430,76,14,10,13
Cali Smash Burger - Sandwich (550g),Gothic Grill,755,43,14,1,120,2820,760,54,6,6,46
Duke Bleu Cheese Burger - Sandwich (554g),Gothic Grill,1090,71,24,1.5,225,3630,1310,44,6,7,71
Gothic Burger - Sandwich (408g),Gothic Grill,1183,82,24,1.5,225,3820,810,48,2,15,62
NC Burger - Sandwich (422g),Gothic Grill,1027,65,18,1.5,215,3390,800,44,2,14,64
Double Patty Melt Sandwich - Sandwich (298g),Gothic Grill,758,54,21,1.5,215,2540,750,5,0,1,63
