Food Name,Restaurant,Food Type,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Spaghetti Squash Primavera - Bowl (1152g),It's Thyme,Dinner Entrees,560,27,9,0,30,3420,2010,79,18,31,13
Chickpea Tortilla - Tortilla Falafel Portion (57g),It's Thyme,Dinner Falafel Wrap,146,4.5,0,0,0,380,350,21,5,1,9
Chickpea Falafel - 3.54 oz Portion (100g),It's Thyme,Dinner Falafel Wrap,200,15,1,0,0,230,230,14,2,2,5
Cucumbers - .75 oz Portion (21g),It's Thyme,Dinner Falafel Wrap,3,0,0,0,0,0,30,0,0,0,0
Garlic Hummus - .675 oz Portion (19g),It's Thyme,Dinner Falafel Wrap,22,1,0,0,0,60,20,2,1,0,1
Green Goddess Ranch Dressing - 2 oz Portion (57g),It's Thyme,Dinner Falafel Wrap,34,2.5,0,0,0,70,0,1,1,0,1
Red Pickled Onion - 1.06 oz Portion (30g),It's Thyme,Dinner Falafel Wrap,13,0,0,0,0,100,35,3,0,2,0
Shredded Kale - 2 oz Portion (57g),It's Thyme,Dinner Falafel Wrap,10,0,0,0,0,25,0,1,1,1,1
Sweet Potatoes - 6 oz Portion (170g),It's Thyme,Dinner Street Taco,185,4.5,0,0,0,150,780,34,5,11,3
Brown Rice and Quinoa - 5.3 oz Portion (150g),It's Thyme,Dinner Street Taco,114,1,0,0,0,0,85,24,2,0,2
Cilantro Lime Black Beans - 2 oz Portion (57g),It's Thyme,Dinner Street Taco,43,0,0,0,0,140,125,6,2,0,2
Fire Roasted Corn with Poblano Peppers - 2 oz Portion (57g),It's Thyme,Dinner Street Taco,58,2.5,0,0,0,180,130,10,1,2,1
Mango Salsa - 1 oz Portion (21g),It's Thyme,Dinner Street Taco,11,2,0,0,0,0,45,2,0,99,0
Tomatillo Salsa Verde - 1 oz Portion (20g),It's Thyme,Dinner Street Taco,2,0,0,0,0,30,10,0,0,0,0
Oven Roasted Potato Medley - 6.6 oz Portion (187g),It's Thyme,Dinner Bowl,226,6,0,0,0,800,710,41,4,4,4
Shredded Kale - 3 oz Portion (85g),It's Thyme,Dinner Bowl,15,0,0,0,0,35,0,2,1,1,1
Baby Spinach - 2.5 oz Portion (71g),It's Thyme,Dinner Bowl,16,0,0,0,0,55,390,3,2,0,2
Brown Rice and Quinoa - 5.3 oz Portion (150g),It's Thyme,Dinner Bowl,114,1,0,0,0,0,85,24,2,0,2
