Food Name,Restaurant,Food Type,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Bacon - 3 Slice Portion (25g),Red Mango,Buffalo Ranch,120,120,10,0,20,520,0,0,0,1,6
Shredded Cheddar Cheese - 2 oz Portion (57g),Red Mango,Buffalo Ranch,223,18,10,0,60,360,0,0,0,0,12
Ranch Dressing - Tablespoon (28g),Red Mango,Buffalo Ranch,110,12,2,0,5,190,0,1,0,0,0
Hot Sauce - .5 oz Portion (14g),Red Mango,Buffalo Ranch,0,0,0,0,0,380,0,0,0,0,0
Mozzarella Cheese - 2 oz Portion (57g),Red Mango,Caprese,144,9,6,0,35,350,50,2,0,1,14
Roasted Cherry Tomato - 1 oz Portion (28g),Red Mango,Caprese,57,4.5,0,0,0,90,0,4,1,3,1
Pesto - 1 oz Portion (28g),Red Mango,Caprese,100,10,2,0,5,100,0,1,1,0,2
Avocado - 2 oz Portion (57g),Red Mango,Club Remix,94,9,1,0,0,0,0,6,4,0,2
Mozzarella Cheese - 2 oz Portion (57g),Red Mango,Club Remix,144,9,6,0,35,350,50,2,0,1,14
Roasted Cherry Tomato - 1 oz Portion (28g),Red Mango,Club Remix,57,4.5,0,0,0,90,0,4,1,3,1
Spinach - 1 oz Portion (3g),Red Mango,Club Remix,1,0,0,0,0,0,20,0,0,0,0
Provolone Cheese - 2 Slice Portion (43g),Red Mango,Little Italy,152,12,6,0,30,360,0,0,0,0,11
Italian Dressing - 1 oz Portion (28g),Red Mango,Little Italy,100,10,1.5,0,0,270,0,3,0,2,0
Red Onion - 1 oz Portion (24g),Red Mango,Little Italy,11,0,0,0,0,0,40,2,0,1,0
Salami - 1 oz Portion (28g),Red Mango,Little Italy,114,9,3.5,0,25,460,0,1,0,1,5
Avocado - 2 oz Portion (57g),Red Mango,New Day Tomacado,94,9,1,0,0,0,0,6,4,0,2
Balsamic Glaze - 1 oz Portion (28g),Red Mango,New Day Tomacado,58,0,0,0,0,0,0,13,0,0,0
Mozzarella Cheese - 3 oz Portion (85g),Red Mango,Pizzaroni,216,13,9,0,55,530,70,2,0,1,21
Parmesan Cheese - Teaspoon (2g),Red Mango,Pizzaroni,8,1,0,0,0,30,0,0,0,0,1
Olive Oil - Teaspoon (5g),Red Mango,Pizzaroni,41,4.5,0.5,0,0,0,0,0,0,0,0
Oregano - 1/2 Teaspoon (0g),Red Mango,Pizzaroni,0,0,0,0,0,0,0,0,0,0,0
Arrabiata Sauce - 2 oz Portion (57g),Red Mango,Pizzaroni,22,0,0,0,0,170,0,4,1,1,0
Mozzarella Cheese - 3 oz Portion (85g),Red Mango,Straight Up,216,13,9,0,55,530,70,2,0,1,21
Parmesan Cheese - Teaspoon (2g),Red Mango,Straight Up,8,1,0,0,0,30,0,0,0,0,1
Olive Oil - Teaspoon (5g),Red Mango,Straight Up,41,4.5,0.5,0,0,0,0,0,0,0,0
Oregano - 1/2 Teaspoon (0g),Red Mango,Straight Up,0,0,0,0,0,0,0,0,0,0,0
Arrabiata Sauce - 2 oz Portion (57g),Red Mango,Straight Up,22,0,0,0,0,170,0,4,1,1,0
Bread Sourdough - 2 Slice Portion (150g),Red Mango,Base,388,4,0,0,0,780,130,75,3,3,13
Gluten Free Multi-Grain Bread - 2 Slice Portion (97g),Red Mango,Base,250,2.5,0,0,0,340,0,56,5,6,3
Naan - Naan (79g),Red Mango,Base,231,4.5,1.5,0,0,310,0,40,2,3,8
Flour Tortilla - Tortilla (67g),Red Mango,Base,210,5,2.5,0,0,390,45,33,1,0,6
Gluten Free Tortilla - Tortilla (57g),Red Mango,Base,160,4.5,1,0,0,350,60,27,1,4,2
Whole Wheat Tortilla - Tortilla (57g),Red Mango,Base,169,4.5,1.5,0,0,260,90,27,3,1,5
Sub Roll - Roll (90g),Red Mango,Base,239,1.5,0,0,0,480,0,48,2,2,9
Avocado - 2 oz Portion (57g),Red Mango,Cali,94,9,1,0,0,0,0,6,4,0,2
Bacon - 3 Slice Portion (25g),Red Mango,Cali,120,120,10,0,20,520,0,0,0,1,6
Shredded Cheddar Cheese - 2 oz Portion (57g),Red Mango,Cali,223,18,10,0,60,360,0,0,0,0,12
Fried Egg Patty - 1.5 oz Portion (85g),Red Mango,Cali,,,,,,,,,,,
Roasted Cherry Tomato - 1 oz Portion (28g),Red Mango,Cali,57,4.5,0,0,0,90,0,4,1,3,1
Balsamic Glaze - Teaspoon (5g),Red Mango,Cali,11,0,0,0,0,0,0,2,0,0,0
Avocado - 2 oz Portion (57g),Red Mango,Camper,94,9,1,0,0,0,0,6,4,0,2
Bacon - 1.5 oz Portion (43g),Red Mango,Camper,200,200,17,0,40,870,0,0,0,2,10
Shredded Cheddar Cheese - 2 oz Portion (57g),Red Mango,Camper,223,18,10,0,60,360,0,0,0,0,12
Fried Egg Patty - 1.5 oz Portion (85g),Red Mango,Camper,,,,,,,,,,,
Mild Shredded Cheddar Cheese - 2 oz Portion (57g),Red Mango,Farmhand,223,18,10,0,50,360,0,2,0,0,14
Fried Egg Patty - 1.5 oz Portion (85g),Red Mango,Farmhand,,,,,,,,,,,
Turkey Sausage Patty - 1.25 oz Portion (35g),Red Mango,Farmhand,75,5,1.5,0,25,200,130,0,0,0,6
Fried Egg Patty - 3 oz Portion (340g),Red Mango,Rise and Shine,,,,,,,,,,,
Red Onion - 1 oz Portion (24g),Red Mango,Rise and Shine,11,0,0,0,0,0,40,2,0,1,0
Provolone Cheese - 2 Slice Portion (28g),Red Mango,Philly Special,101,8,5,0,20,250,0,1,0,0,7
Chipotle Mayo - 1 oz Portion (28g),Red Mango,Philly Special,182,20,3,0,10,270,0,2,0,0,0
Pepper and Onions - 1.5 oz Portion (43g),Red Mango,Philly Special,18,0,0,0,0,140,0,3,1,2,0
Philly Steak - 3 oz Portion (85g),Red Mango,Philly Special,211,16,6,0,55,55,0,0,0,0,17
Banana - Half Banana (37g),Red Mango,Grilled Banana PB&J,36,0,0,0,0,0,120,8,1,0,0
Strawberry Jam - 1 oz Portion (28g),Red Mango,Grilled Banana PB&J,71,0,0,0,0,0,65,17,0,16,0
Peanut Butter - 3 oz Portion (85g),Red Mango,Grilled Banana PB&J,558,45,9,0,0,420,0,13,5,8,24
Blueberries - 1 oz Portion (28g),Red Mango,Fresh Berry PB&J,16,0,0,0,0,0,0,4,1,2,0
Strawberry Jam - 1 oz Portion (28g),Red Mango,Fresh Berry PB&J,71,0,0,0,0,0,65,17,0,16,0
Peanut Butter - 3 oz Portion (85g),Red Mango,Fresh Berry PB&J,558,45,9,0,0,420,0,13,5,8,24
Strawberries - 1 oz Portion (28g),Red Mango,Fresh Berry PB&J,10,0,0,0,0,0,0,2,0,1,0
Berries and Acai Bowl - Bowl (290g),Red Mango,Power Bowl Base,244,5,1,0,0,30,440,48,5,26,3
The Pink Bowl - Bowl (434g),Red Mango,Power Bowl Base,505,6,1,0,0,105,1000,109,12,51,9
Choc-Nut Dream Bowl - Bowl (344g),Red Mango,Power Bowl Base,572,19,4.5,0,5,150,640,95,9,49,9
PB Power Bowl - Bowl (344g),Red Mango,Power Bowl Base,610,25,5,0,0,280,640,83,11,36,15
Red White and Blue Bowl - Bowl (360g),Red Mango,Power Bowl Base,407,10,7,0,0,60,640,79,9,59,5
Almond Butter - 1 oz Portion (28g),Red Mango,Power Bowl Toppings,177,16,1.5,0,0,0,210,5,3,1,6
Sliced Banana - 1 oz Portion (28g),Red Mango,Power Bowl Toppings,25,0,0,0,0,0,100,6,1,3,0
Fresh Blueberries - 1 oz Portion (28g),Red Mango,Power Bowl Toppings,16,0,0,0,0,0,20,4,1,3,0
Organic Oats and Honey Granola - 1 oz Portion (28g),Red Mango,Power Bowl Toppings,118,3,0,0,0,50,70,21,1,7,2
Shredded Coconut - 1 oz Portion (28g),Red Mango,Power Bowl Toppings,81,5,5,0,0,0,0,8,1,8,1
Lite Amber Honey - 1 oz Portion (28g),Red Mango,Power Bowl Toppings,81,0,0,0,0,0,0,23,0,22,0
Milk Chocolate Chips MYO Bowl - 1 oz Portion (454g),Red Mango,Power Bowl Toppings,2117,121,76,0,0,0,0,302,30,242,30
Nutella Hazelnut Butter - 1 oz Portion (28g),Red Mango,Power Bowl Toppings,154,9,3,0,5,10,0,18,1,16,1
Creamy Peanut Butter - 1 oz Portion (28g),Red Mango,Power Bowl Toppings,163,14,3,0,0,70,170,7,3,3,6
Raspberries - 1 oz Portion (28g),Red Mango,Power Bowl Toppings,11,0,0,0,0,0,0,4,2,3,0
Strawberries - 1/2 Cup Portion (64g),Red Mango,Power Bowl Toppings,22,0,0,0,0,0,0,5,0,3,0
Yogurt Chips - 1 oz Portion (4536g),Red Mango,Power Bowl Toppings,22680,1134,945,0,0,4720,13420,3213,0,3213,189
Chocolate Chip Power Bites - Serving (113g),Red Mango,Snacks,498,24,7,0,15,180,210,59,6,32,17
Double Chocolate Power Bites - Serving (124g),Red Mango,Snacks,535,25,8,0,15,180,250,69,7,40,17
Yogurt Parfait w/ Blueberry & Strawberry - Parfait (283g),Red Mango,Snacks,319,4,1.5,0,5,140,350,62,3,36,9
Turkey and Provolone Wrap - Sandwich (268g),Red Mango,Snacks,572,29,11,0,80,1860,120,41,3,3,37
Overnight Yoats with Blueberries - 12 oz Portion (340g),Red Mango,Snacks,620,11,2,0,0,35,570,114,16,16,20
Fruit Cup - Container (366g),Red Mango,Snacks,172,0,0,0,0,15,45,43,3,33,3
Coconut Chia Pudding Parfait - Parfait (253g),Red Mango,Snacks,231,10,3.5,0,0,70,410,32,8,19,5
Banana PB Protein Smoothie - 16 oz (454g),Red Mango,Smoothie,699,22,4.5,0,25,520,330,101,6,54,24
Berry Power Protein Smoothie - 16 oz (454g),Red Mango,Smoothie,636,26,5,0,25,520,250,76,5,50,25
Mango Metabolizer Smoothie - 16 oz (454g),Red Mango,Smoothie,251,1.5,0.5,0,30,55,380,48,2,34,11
Skinny Strawberry Smoothie - 16 oz (454g),Red Mango,Smoothie,258,1.5,0.5,0,30,50,510,52,2,37,11
PB & J Smoothie - 24 oz (680g),Red Mango,Smoothie,780,25,6,0,75,720,270,100,9,66,43
Super Peanut Butter Cup Smoothie - 24 oz (680g),Red Mango,Smoothie,751,12,2.5,0,20,240,1710,143,10,20,18
Honey Badger Smoothie - 24 oz (680g),Red Mango,Smoothie,810,7,2,0,75,590,470,158,4,99,35
Mighty Oat Smoothie - 16 oz (454g),Red Mango,Smoothie,604,38,4,0,40,280,630,43,9,6,29
Citrus Mango Greens Smoothie - 24 oz (680g),Red Mango,Smoothie,284,1,0,0,0,75,790,68,4,42,3
Berry Banana Smoothie - 24 oz (680g),Red Mango,Smoothie,412,1,0,0,0,320,350,98,5,74,6
Strawberry Banana Smoothie - 16 oz (454g),Red Mango,Smoothie,287,0,0,0,0,210,280,69,3,53,4
Tropical Mango Smoothie - 16 oz (454g),Red Mango,Smoothie,241,0,0,0,0,200,170,57,2,54,4
Pina Colada Smoothie - 24 oz (680g),Red Mango,Smoothie,706,17,17,0,0,440,100,131,5,119,12
Almond Butter Boost - Scoop (50g),Red Mango,Smoothie Add Ons,310,28,2.5,0,0,0,370,9,5,2,11
Chia Seed Boost - Tablespoon (11g),Red Mango,Smoothie Add Ons,60,3.5,0,0,0,0,0,4,4,0,2
Flaxseed Boost - Tablespoon (7g),Red Mango,Smoothie Add Ons,38,2.5,0,0,0,0,60,2,2,0,2
Granola Boost - Tablespoon (11g),Red Mango,Smoothie Add Ons,47,1,0,0,0,20,30,8,1,3,1
Immunity Boost - 2 gr Portion (2g),Red Mango,Smoothie Add Ons,0,0,0,0,0,0,0,0,0,0,0
Ghirardelli Chocolate Powder - Tablespoon (12g),Red Mango,Smoothie Add Ons,43,0.5,0,0,0,0,65,10,1,9,0
Spinach Boost - 1 oz Portion (28g),Red Mango,Smoothie Add Ons,7,0,0,0,0,20,160,1,1,0,1
Vegan Protein Boost - Tablespoon (23g),Red Mango,Smoothie Add Ons,75,2,0,0,0,135,35,7,2,0,10
Vitamin Boost - Teaspoon (2g),Red Mango,Smoothie Add Ons,0,0,0,0,0,0,0,0,0,0,0
Whey Protein - Tablespoon (32g),Red Mango,Smoothie Add Ons,109,1.5,1,0,50,140,0,8,0,2,17
Chocolate Whey Protein Boost - Tablespoon (32g),Red Mango,Smoothie Add Ons,109,1.5,1,0,50,140,0,8,0,2,17
Apple Juice - 8 oz Portion (227g),Red Mango,Smoothie Base,109,0,0,0,0,30,250,28,0,28,0
Orange Juice - 6 oz Portion (170g),Red Mango,Smoothie Base,89,0,0,0,0,25,0,21,0,21,0
Pineapple Juice - 6 oz Portion (170g),Red Mango,Smoothie Base,97,0,0,0,0,20,190,25,0,25,0
