Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Broccoli Quiche - Slice (271g),Saladalia,693,51,26,3,295,830,290,37,4,3,18
Quiche Lorraine - Slice (237g),Saladalia,670,48,23,3,300,1040,130,33,2,3,23
Brown Sugar - 1.5 oz Portion (43g),Saladalia,159,0,0,0,0,0,0,42,0,42,0
Granola Parfait - Parfait (291g),Saladalia,429,4,1,0,15,105,55,77,5,51,25
Organic Oatmeal - 2.3 oz Portion (65g),Saladalia,247,4.5,1,0,0,0,0,44,7,1,9
Raisins - 1.5 oz Portion (43g),Saladalia,129,0,0,0,0,5,0,34,2,25,1
Greek Salad - Salad (458g),Saladalia,785,75,18,0,25,1820,270,27,8,8,9
Vegan Buddah Bowl - Bowl (530g),Saladalia,765,37,7,0,0,1060,1170,90,16,11,24
Classic Lasagna - Portion (385g),Saladalia,624,38,19,0,120,970,210,32,2,4,40
Gourmet Mac N Cheese - 10 oz Portion (283g),Saladalia,518,27,17,0,90,640,240,49,2,5,18
Apple Moroccan Couscous - 8 oz Portion (133g),Saladalia,273,17,3.5,0,0,15,70,32,3,15,3
Farm Fresh Eggs - 2 Egg Portion (92g),Saladalia,142,10,3,0,340,115,115,1,0,1,11
Feta Cilantro Bowtie Salad - 6 oz Portion (169g),Saladalia,521,21,5,0,10,200,160,73,3,4,12
Fruit Cup - 8 oz Portion (220g),Saladalia,95,0,0,0,0,25,210,24,2,21,2
Garbanzo Greek Salad - 5 oz Portion (141g),Saladalia,174,13,3.5,0,10,450,75,14,3,2,5
Mediterranean Snack Box - 15 oz Portion (428g),Saladalia,630,38,5,0,0,1860,850,58,12,8,19
Penne Pesto Salad - 5 oz Portion (142g),Saladalia,256,9,2.5,0,5,660,110,36,2,1,9
Pita Crisps - 5.7 oz Portion (162g),Saladalia,622,45,3.5,0,0,1990,15,45,3,0,8
Strawberry Fruit Cup - Container (170g),Saladalia,58,0,0,0,0,0,0,13,0,9,1
Bacon Egg and Cheese Croissant - Sandwich (257g),Saladalia,840,58,25,0,520,1480,510,33,1,6,44
Falafel on Pita - Pita (330g),Saladalia,577,25,4.5,0,0,1120,510,68,9,8,22
Greek Scrambler - Burrito (272g),Saladalia,627,35,14,0,425,1240,280,50,2,2,30
Hummus Veggie Wrap - Wrap (310g),Saladalia,492,20,5,0,0,1240,360,66,6,3,14
Egg and Cheese Croissant - Sandwich (138g),Saladalia,426,26,13,0,260,340,160,31,1,6,15
Black and White Cookie - Cookie (84g),Saladalia,376,21,13,0,70,210,80,44,1,33,3
Cheesecake Brownie - Portion (140g),Saladalia,596,34,20,0,140,190,290,68,4,89,7
Chocolate Chip Cookie - Cookie (73g),Saladalia,286,10,6,0,40,160,95,48,1,39,4
Lemon Bar - Bar (160g),Saladalia,575,22,13,0,160,55,110,90,1,70,6
Lemon Pound Cake - Slice (111g),Saladalia,412,10,2,0,35,100,50,82,2,74,2
