Food Name,Restaurant,Food Type,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
"Flour Tortilla 12"" - Tortilla (95g)",Sazon,Quesedilla Base,293,7,3.5,0,0,560,65,48,1,1,8
"Flour Tortilla 6"" - 3 Tortilla Portion (99g)",Sazon,Taco Base,301,8,3.5,0,0,570,65,48,2,0,9
Latin Arepa Bowl - Arepa (72g),Sazon,Bowl Base,163,8,0.5,0,0,180,75,23,2,< 1,3
"White Corn Tortilla 6"" - 3 Tortilla Portion (87g)",Sazon,Taco Base,274,15,1,0,0,20,90,32,4,0,3
Portobello Mushrooms - Bowl Portion (92g),Sazon,Bowl Protein,30,0,0,0,0,730,190,5,1,1,1
Tofrizo - Bowl Portion (210g),Sazon,Bowl Protein,270,16,2,0,0,450,420,12,5,3,24
Portobello Mushrooms - Taco Portion (92g),Sazon,Taco Protein,29,0,0,0,0,730,190,5,< 1,< 1,1
Tofrizo - Taco Portion (210g),Sazon,Taco Protein,270,16,2,0,0,450,420,12,5,3,24
Portobello Mushrooms - Quesedilla Portion (92g),Sazon,Quesedilla Protein,30,0,0,0,0,730,190,5,1,1,1
Tofrizo Quesedilla Portion (210g),Sazon,Quesedilla Protein,270,16,2,0,0,450,420,12,5,3,24
Portobello Mushrooms - Burrito Portion (92g),Sazon,Burrito Portion,30,0,0,0,0,730,190,5,1,1,1
Tofrizo Burrito Portion (210g),Sazon,Burrito Portion,270,16,2,0,0,450,420,12,5,3,24
Black Beans - Taco Portion (76g),Sazon,Taco Toppings,60,0,0,0,0,630,250,11,3,1,4
Shredded Cheddar Monterey Jack Cheese - Arepa Bowl Portion (11g),Sazon,Taco Toppings,40,3,2,0,10,65,0,0,0,0,2
Cheese Cotija - Taco Portion (14g),Sazon,Taco Toppings,51,4,2.5,0,15,50,10,0,0,0,3
Cilantro Lime Coleslaw - Taco Portion (58g),Sazon,Taco Toppings,143,12,1,0,0,470,65,7,< 1,9,0
Habanero Coleslaw - Taco Portion (58g),Sazon,Taco Toppings,65,5,0,0,0,150,70,4,< 1,2,< 1
Fajita Peppers and Onions - Taco Portion (55g),Sazon,Taco Toppings,60,4.5,0,0,0,0,65,4,< 1,2,0
Guacamole - Taco Portion (85g),Sazon,Taco Toppings,102,8,1,0,0,320,330,7,4,1,1
Maduros (Sweet Plantains) - 2 Piece Portion (55g),Sazon,Taco Toppings,159,6,1,0,0,0,190,25,1,10,< 1
Cilantro Lime Brown Rice - Taco Portion (73g),Sazon,Taco Toppings,70,0.5,0,0,0,45,50,15,1,0,1
Cilantro Lime White Rice - Quesadilla Portion (98g),Sazon,Taco Toppings,100,0,0,0,0,55,45,22,1,0,2
Pico de Gallo - Quesadilla Portion (45g),Sazon,Taco Toppings,10,0,0,0,0,45,100,2,0,1,0
Corn Salsa - Taco Portion (33g),Sazon,Taco Toppings,26,0,0,0,0,140,70,6,< 1,2,< 1
Roasted Salsa - 2 oz Portion (57g),Sazon,Taco Toppings,20,0,0,0,0,160,115,4,< 1,2,< 1
Romaine Lettuce - Arepa Bowl Portion (25g),Sazon,Taco Toppings,0,0,0,0,0,0,60,1,0,0,0
