Food Name,Restaurant,Food Type,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Avocado Toast - Sandwich (229g),Sprout,Breakfast,377,27,3,0,0,310,190,37,14,7,10
Breakfast Burrito - Burrito (244g),Sprout,Breakfast,304,15,2.5,0,0,1190,530,34,10,5,17
Brussel Sprout Hash - 13 oz Portion (379g),Sprout,Breakfast,353,12,1.5,0,0,2460,1240,52,10,8,16
French Toast Sticks - 4 oz Portion (116g),Sprout,Breakfast,262,4,0,0,5,600,1140,50,3,3,7
Hash Brown Patty - Patty (65g),Sprout,Breakfast,167,5,0,0,0,180,170,15,1,0,1
Oatmeal - 7 oz Portion (198g),Sprout,Breakfast,138,1.5,0,0,0,280,180,30,4,7,3
Tofu Scramble - 5.5 oz Portion (158g),Sprout,Breakfast,94,5,1,0,0,520,250,5,1,2,9
Tri Color Potato - 4 oz Portion (116g),Sprout,Breakfast,157,6,0,0,0,440,440,25,3,3,3
Oatmeal - 4.5 oz Portion (359g),Sprout,Bowl Base,249,2.5,0,0,0,510,320,54,6,13,6
Soy Yogurt - 5.75 oz Portion (163g),Sprout,Bowl Base,110,4,0.5,0,0,65,440,10,2,5,7
Brown Sugar - 1/2 oz Portion (14g),Sprout,Bowl Toppings,53,0,0,0,0,0,0,14,0,14,0
Dried Apricot - 2 oz Portion (57g),Sprout,Bowl Toppings,142,0,0,0,0,5,0,35,4,30,1
Dried Cranberries - 1 oz Portion (28g),Sprout,Bowl Toppings,92,0,0,0,0,0,0,23,2,21,0
Fresh Blueberries - 2 oz Portion (57g),Sprout,Bowl Toppings,32,0,0,0,0,0,45,8,1,6,0
Fresh Cantaloupe - 2 oz Portion (57g),Sprout,Bowl Toppings,20,0,0,0,0,0,170,5,0,5,0
Fresh Grapes - 2 oz Portion (51g),Sprout,Bowl Toppings,35,0,0,0,0,0,0,9,0,8,0
Fresh Pineapple - 2 oz Portion (57g),Sprout,Bowl Toppings,25,0,0,0,0,5,0,7,0,5,0
Granola - 2 oz Portion (57g),Sprout,Bowl Toppings,268,10,1.5,0,0,45,180,37,5,10,6
Mandarin Oranges - 2 oz Portion (57g),Sprout,Bowl Toppings,18,0,0,0,0,5,0,4,0,3,0
Chickpea Stew with Coconut Milk - 5 oz Portion (141g),Sprout,Lunch/Dinner,124,3.5,1.5,0,0,580,280,18,3,6,5
Plant Based Chicken Nuggets - 3.35 oz Portion (100g),Sprout,Lunch/Dinner,170,7,0,0,0,360,0,14,2,0,14
Plant Based Moroccan Chicken - 4 oz Portion (104g),Sprout,Lunch/Dinner,104,3.5,0,0,0,300,60,11,2,2,8
Avocado Toast - Sandwich (229g),Sprout,Lunch/Dinner,377,27,3,0,0,310,190,37,14,7,10
Black Bean Burger Sandwich - Sandwich (232g),Sprout,Lunch/Dinner,442,23,1,0,0,1080,170,55,12,8,13
Cauliflower Flatbread - 1/2 Cut Portion (403g),Sprout,Lunch/Dinner,432,41,3,0,0,1470,320,29,3,7,2
Falafel Pita - Sandwich (364g),Sprout,Lunch/Dinner,760,46,8,0,0,990,370,66,28,8,24
Falafel Wrap - Wrap (378g),Sprout,Lunch/Dinner,758,45,9,1.5,0,1400,210,67,24,5,24
Balsamic Maple Brussels Sprouts - 5 oz Portion (144g),Sprout,Lunch/Dinner,187,14,1,0,0,320,360,10,3,10,3
Brown Rice - 4.oz Portion (116g),Sprout,Lunch/Dinner,79,2.5,0,0,0,510,0,12,1,0,1
Pita Bread - Portion (45g),Sprout,Lunch/Dinner,115,2.5,0.5,0,0,180,0,19,1,0,3
Chickpea Salad - 3/4 Cup Portion (128g),Sprout,Lunch/Dinner,114,7,0,0,0,270,115,11,3,2,3
Cilantro Hummus - 1/2 Cup Serving (142g),Sprout,Lunch/Dinner,112,4.5,0.5,0,0,510,180,14,4,2,5
Dolmas - 3 Piece Serving (59g),Sprout,Lunch/Dinner,100,5,0,0,0,280,0,11,1,1,1
Kale Salad - 3/4 Cup Portion (52g),Sprout,Lunch/Dinner,73,5,0,0,0,40,0,6,1,5,0
Orzo Salad - 3/4 Cup Portion (136g),Sprout,Lunch/Dinner,378,7,0,0,0,910,230,66,3,4,12
Quinoa Salad - 4 oz Portion (119g),Sprout,Lunch/Dinner,140,13,2,0,0,580,105,6,1,1,2
Roasted Beet Salad - 1 Cup Portion (150g),Sprout,Lunch/Dinner,88,3.5,0,0,0,105,420,14,3,11,2
Roasted Cauliflower Salad - Cup Portion (142g),Sprout,Lunch/Dinner,35,1,0,0,0,50,190,6,3,3,3
Smoked Sweet Potato Salad - 4 oz Portion (140g),Sprout,Lunch/Dinner,170,5,0.5,0,0,160,590,30,4,11,3
Spicy Hummus - 1/2 Cup Portion (142g),Sprout,Lunch/Dinner,104,4,0,0,0,510,150,13,4,2,4
