Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Chana Masala - 5 oz Portion (142g),Tandoor,122,6,0,0,0,1300,270,16,3,1,5
Paneer Makhani - 6 oz Ladle Portion (178g),Tandoor,376,34,17,0,85,1050,540,11,1,6,18
Saag (Tempered Spinach) - 5 oz Portion (146g),Tandoor,87,4.5,0,0,0,1430,1430,10,3,2,6
Curry Egg - 5 oz Portion (142g),Tandoor,149,11,1.5,0,140,780,400,6,1,2,50
Veggie Malabar Contains Coconut - 5 oz Ladle Portion (142g),Tandoor,162,13,4.5,0,0,720,620,11,2,3,3
Basmati Rice - 6 oz Portion (170g),Tandoor,373,0,0,0,0,0,150,84,0,0,7
Vegetable Samosa - Samosa (132g),Tandoor,286,9,0,0,0,700,260,44,3,0,5
Cabbage Poriyal - 6 oz Portion (170g),Tandoor,96,6,0,0,0,850,290,10,3,5,3
Dal Peas - 6 oz Portion (170g),Tandoor,196,7,0.5,0,0,920,440,25,9,4,10
Naan - 2 Piece Portion (65g),Tandoor,222,1,0,0,0,80,65,45,2,1,6
Tandoor Mango Lassi - 12 oz Portion (352g),Tandoor,404,7,5,0,25,60,210,71,3,102,17
