Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Bacon Egg and Cheese Bagel - Sandwich (246g),The Devils Krafthouse,565,25,9,0,250,1170,270,57,2,1,29
Breakfast Potato Bowl - Bowl (454g),The Devils Krafthouse,792,51,19,1,540,1590,460,41,4,2,42
Breakfast Potatoes - 4 oz Portion (113g),The Devils Krafthouse,173,5,0.5,0,0,520,0,28,3,0,3
Egg and Cheese Sandwich - Sandwich (141g),The Devils Krafthouse,353,17,7,0,230,540,80,33,1,5,17
Southwest Wrap - Wrap (383g),The Devils Krafthouse,764,40,16,0.5,365,1250,450,62,6,5,36
Vegetable Goat Cheese Bowl - Bowl (482g),The Devils Krafthouse,682,38,15,1,520,1090,330,53,6,6,36
Barbecue Ranch Fries - Portion (425g),The Devils Krafthouse,1177,95,24,0,170,2810,700,50,4,15,38
Battered Onion Rings - 5 oz Portion (153g),The Devils Krafthouse,493,32,4,0,0,780,130,53,1,7,6
Cheese Curds - 5 oz Portion (156g),The Devils Krafthouse,619,47,24,0,110,980,0,20,2,0,28
Fresh Cut Fries - 7 oz Portion (199g),The Devils Krafthouse,429,37,2.5,0,0,360,650,25,4,2,3
House Made Chips - 8 oz Portion (237g),The Devils Krafthouse,727,57,7,0,0,1020,0,49,5,2,5
Hummus Plate - Plate (274g),The Devils Krafthouse,309,15,1,0,0,1890,125,36,7,19,6
Loaded Chips - 10 oz Portion (283g),The Devils Krafthouse,792,61,18,0,90,1530,120,32,3,4,29
Loaded Fries - 13 oz Portion (369g),The Devils Krafthouse,805,66,17,0,90,1310,770,30,4,4,29
Loaded Sweet Potato Tots - 12 oz Portion (340g),The Devils Krafthouse,761,52,15,0,90,1370,120,46,4,17,28
Nachos - Plate (450g),The Devils Krafthouse,714,31,10,0,55,1690,1000,85,8,11,20
Vegan Crispy Garden Tenders - 7 oz Portion (216g),The Devils Krafthouse,490,32,1.5,0,0,710,0,28,4,0,28
Sweet Potato Fries - 10 oz Portion (207g),The Devils Krafthouse,550,35,2.5,0,0,1180,0,57,4,25,2
Fried Pickle Fries - 6.9 oz Portion (196g),The Devils Krafthouse,555,40,4,0,0,1510,150,48,2,2,4
Mac and Cheese Bites - 6.9 oz Portion (196g),The Devils Krafthouse,599,41,11,0,45,1250,160,42,2,0,18
Southwest Breakfast Bowl - Bowl (468g),The Devils Krafthouse,928,58,23,1,505,2610,290,48,4,4,51
Barbecue Sauce - 2 oz Portion (57g),The Devils Krafthouse,79,0,0,0,0,280,0,17,2,0,0
