Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Baby Spinach - 3 oz Portion (85g),The Farmstead,20,0,0,0,0,60,400,3,2,0,2
Banana Peppers - 1.25 oz Portion (35g),The Farmstead,6,0,0,0,0,350,0,1,1,0,0
Broccoli Florets - 1.76 oz Portion (40g),The Farmstead,12,0,0,0,0,10,0,2,1,0,1
Cheddar Cheese - 1.5 oz Portion (43g),The Farmstead,167,14,8,0,40,270,0,1,0,0,11
Chick Peas - 2.5 oz Portion (65g),The Farmstead,40,0.5,0,0,0,120,75,7,2,1,2
Chicken - 4 oz Portion (113g),The Farmstead,121,1,0,0,0,930,0,2,0,0,24
Crouton - 2 Tbsp Portion (7g),The Farmstead,30,1,0,0,0,90,10,5,0,0,1
Cucumber - 2.5 oz Portion (71g),The Farmstead,8,0,0,0,0,0,95,1,0,1,0
Dried Cranberries - 1 oz Portion (28g),The Farmstead,92,0,0,0,0,0,0,23,2,21,0
Feta Cheese - 1.5 oz Portion (43g),The Farmstead,106,9,6,0,40,390,0,1,0,1,8
Grape Tomato - 3 oz Portion (85g),The Farmstead,15,0,0,0,0,0,200,3,1,2,1
Green Peppers - 2 oz Portion (126g),The Farmstead,35,0,0,0,0,360,210,8,1,4,1
Hard Boiled Egg - Egg (59g),The Farmstead,91,6,2,0,220,75,75,1,0,1,7
Kalamata Olives - 1.25 oz Portion (35g),The Farmstead,89,10,1.5,0,0,760,0,2,0,0,0
Mixed Greens - 3 oz Portion (85g),The Farmstead,17,0,0,0,0,65,95,3,0,1,1
Mushrooms - 1.75 oz Portion (50g),The Farmstead,14,0,0,0,0,125,180,3,1,1,1
Parmesan Cheese - 1.25 oz Portion (35g),The Farmstead,142,14,7,0,35,500,0,0,0,0,14
Red Quinoa - 1.5 oz Portion (43g),The Farmstead,50,1,0,0,0,290,70,9,1,0,2
Roasted Sunflower Seeds - .5 oz Portion (17g),The Farmstead,109,9,1,0,0,570,0,3,1,0,3
Roasted Sweet Potatoes - 4.5 oz Portion (128g),The Farmstead,118,0.5,0,0,0,210,600,26,4,8,2
Romaine Lettuce - 3 oz Portion (85g),The Farmstead,14,0,0,0,0,5,0,3,2,1,1
Shredded Carrots - 1.5 oz Portion (43g),The Farmstead,15,0,0,0,0,25,100,3,1,1,0
Sliced Red Onion - 1.25 oz Portion (35g),The Farmstead,16,0,0,0,0,0,60,4,0,2,0
Tofu - 3.75 oz Portion (106g),The Farmstead,73,4.5,1,0,0,260,150,2,1,1,8
Green Beans - 3.5 oz Portion (97g),The Farmstead,32,0,0,0,0,3730,125,8,3,3,2
Macaroni and Cheese - 6.5 oz Portion (222g),The Farmstead,804,49,31,0,175,640,100,68,1,3,22
Roasted Red Bliss Potatoes - 6 oz Portion (170g),The Farmstead,179,4,1.5,0,0,390,620,34,3,1,3
White Rice - 3.5 oz Portion (51g),The Farmstead,81,4,1,0,0,470,0,10,1,0,1
Balsamic Vinaigrette - 2 oz Portion (57g),The Farmstead,227,23,4,0,0,430,0,4,0,4,0
Balsamic Vinegar - .5 oz Portion (14g),The Farmstead,11,0,0,0,0,0,20,2,0,2,0
Creamy Caesar Dressing - 2 oz Portion (57g),The Farmstead,265,28,4.5,0,20,490,0,0,0,0,2
Creamy Italian Dressing - 2 oz Portion (57g),The Farmstead,254,27,4,0,0,700,0,2,0,2,0
Lemon Juice - 1 oz Portion (28g),The Farmstead,0,0,0,0,0,0,0,0,0,0,0
Olive Oil Blend - .75 oz Portion (21g),The Farmstead,182,21,1.5,0,0,0,0,0,0,0,0
Ranch Dressing - 2 oz Portion (57g),The Farmstead,220,24,4,0,10,380,0,2,0,0,0
Raspberry Vinaigrette - 2 oz Portion (227g),The Farmstead,334,0,0,0,0,1000,0,87,0,53,0
