Food Name,Restaurant,Food Type,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Breakfast Quesadilla - Quesadilla (442g),The Pitchfork,Breakfast,889,54,29,0,460,1460,430,57,1,9,42
Breakfast Taco - Taco (191g),The Pitchfork,Breakfast,311,20,8,0,365,330,250,12,3,5,20
Egg Your Way - 2 Egg Portion (92g),The Pitchfork,Breakfast,142,10,3,0,340,115,115,1,0,1,11
Fried Egg BLT - Sandwich (276g),The Pitchfork,Breakfast,611,36,11,0,205,1010,360,47,3,5,21
Cream Cheese - 2 oz Portion (57g),The Pitchfork,Breakfast,200,20,13,0,65,170,70,2,0,1,4
Lox and Bagel - Sandwich (288g),The Pitchfork,Breakfast,584,26,14,0,105,2140,140,62,2,5,29
Plain Bagel - Bagel (113g),The Pitchfork,Breakfast,301,3,0,0,0,560,0,56,2,3,10
Breakfast Biscuit - Biscuit (80g),The Pitchfork,Breakfast,248,11,8,0,0,710,0,29,1,3,5
Gluten Free Multi Grain Bread - Bun (48g),The Pitchfork,Breakfast,125,1,0,0,0,170,0,28,2,3,2
Wheat Toast - 2 Slice Portion (83g),The Pitchfork,Breakfast,240,3,0,0,0,420,110,44,2,4,8
White Toast - 2 Slice Portion (50g),The Pitchfork,Breakfast,130,1.5,0,0,0,250,40,24,0,0,5
GFF Pancake - Full Stack Pancakes (24g),The Pitchfork,Breakfast,52,2,0.5,0,10,80,20,7,0,1,1
Pancakes - Half Stack Pancakes (139g),The Pitchfork,Breakfast,296,15,2,0,0,540,75,37,1,7,6
Cheese Quesadilla - Quesadilla (322g),The Pitchfork,Lunch/Dinner,775,44,28,0,115,1570,190,62,1,6,35
Falafel Sandwich on Whole Wheat Pita - Sandwich (374g),The Pitchfork,Lunch/Dinner,814,35,6,0,0,1010,1180,97,5,3,31
Mac and Cheese Bites - 15 Piece Portion (340g),The Pitchfork,Lunch/Dinner,1248,94,25,0,120,3210,0,74,3,5,26
Vegetable Samosas with Tomato Chutney - 4 Piece Portion (292g),The Pitchfork,Lunch/Dinner,818,42,4.5,0,0,1190,0,95,8,8,11
Sauteed Tofu - 4 oz Portion (116g),The Pitchfork,Quesedilla,103,7,1,0,0,270,160,2,1,1,8
"12"" Flour Tortilla - Tortilla (95g)",The Pitchfork,Quesedilla,293,7,3.5,0,0,560,65,48,1,1,8
Lime Sour Cream Sauce - 2 oz Portion (57g),The Pitchfork,Quesedilla,106,9,6,0,35,160,110,4,0,3,2
Salsa Roja - 2 oz Portion (56g),The Pitchfork,Quesedilla,12,0,0,0,0,80,20,2,0,1,0
Shredded Mozzarella Cheese - 4 oz Portion (113g),The Pitchfork,Quesedilla,364,28,18,0,80,770,0,8,0,0,24
Arugula Salad - Salad (396g),The Pitchfork,Salad,518,37,15,0,30,520,20,39,4,32,14
California Club Salad - Salad (510g),The Pitchfork,Salad,965,73,14,0,180,2300,1150,31,7,2,51
E Tu Caesar Salad - Salad (340g),The Pitchfork,Salad,697,53,17,0,80,1660,530,32,7,2,31
Kale Salad - Salad (323g),The Pitchfork,Salad,550,36,6,0,0,290,720,51,10,24,13
Bahn Mi - Sandwich (306g),The Pitchfork,Lunch/Dinner,736,26,9,0,150,1830,320,89,2,32,32
Black Angus Burger - Sandwich (373g),The Pitchfork,Lunch/Dinner,723,34,13,1.5,170,550,740,44,2,9,56
Grilled Cheese Sandwich - Sandwich (214g),The Pitchfork,Lunch/Dinner,827,60,36,0,150,1050,80,48,0,0,30
Morty's Reuben on Rye Sandwich - Sandwich (390g),The Pitchfork,Lunch/Dinner,1038,75,35,0,190,2570,15,57,7,3,37
Veggie Burger - Sandwich (361g),The Pitchfork,Lunch/Dinner,831,46,11,0,50,2150,350,63,10,19,46
Spaghetti with Marinara - Portion (482g),The Pitchfork,Lunch/Dinner,544,9,1,0,0,2440,430,97,8,4,18
Veggie Hot Pot Pitchfork - Portion (573g),The Pitchfork,Lunch/Dinner,500,4,0,0,0,1250,125,102,3,3,15
Veggie Lasagna - 10 oz Portion (283g),The Pitchfork,Lunch/Dinner,362,15,7,0,45,940,0,37,6,2,20
Fries - 6 oz Portion (163g),The Pitchfork,Sides,394,19,4,0,0,950,0,35,3,2,3
Fruit Salad - 4 oz Portion (113g),The Pitchfork,Sides,49,0,0,0,0,10,125,12,1,11,1
Greens Side Salad - Salad (142g),The Pitchfork,Sides,242,23,4,0,0,450,0,6,1,4,1
Tots - 6 oz Portion (147g),The Pitchfork,Sides,402,30,6,0,0,530,0,29,3,0,3
Sauteed Tofu - 4 oz Portion (116g),The Pitchfork,Add Ons,103,7,1,0,0,270,160,2,1,1,8
Veggie Patty - 4.5 oz Portion (128g),The Pitchfork,Add Ons,280,13,1,0,0,760,230,16,8,8,31
Avocado - 2.5 oz Portion (71g),The Pitchfork,Add Ons,113,10,1.5,0,0,0,340,6,5,0,1
Broccoli - 6 oz Portion (170g),The Pitchfork,Add Ons,59,0.5,0,0,0,490,490,12,6,2,4
Cheddar Cheese Slice - Slice (21g),The Pitchfork,Add Ons,81,7,4,0,20,135,0,0,0,0,5
Gala Apple Half - 3 oz Portion (85g),The Pitchfork,Add Ons,46,0,0,0,0,0,0,12,2,9,0
Grilled Onion - 4 oz Portion (112g),The Pitchfork,Add Ons,72,3,0,0,0,620,180,11,1,5,1
Jalapeno - 2 oz Portion (57g),The Pitchfork,Add Ons,25,0,0,0,0,15,0,4,0,0,1
Lettuce - 2 oz Portion (57g),The Pitchfork,Add Ons,8,0,0,0,0,15,110,2,1,0,1
Lime - Lime Half (2g),The Pitchfork,Add Ons,1,0,0,0,0,0,0,0,0,0,0
Lime Sour Cream Sauce - 2 oz Portion (57g),The Pitchfork,Add Ons,106,9,6,0,35,160,110,4,0,3,2
Mushroom - 3 oz Portion (85g),The Pitchfork,Add Ons,20,0,0,0,0,15,0,3,1,0,3
Onion - 4 oz Portion (116g),The Pitchfork,Add Ons,51,0,0,0,0,0,190,12,2,5,2
Pickle - 2 oz Portion (57g),The Pitchfork,Add Ons,10,0,0,0,0,790,0,0,0,0,0
Pico de Gallo - 2 oz Portion (57g),The Pitchfork,Add Ons,12,0,0,0,0,0,120,2,0,2,0
Salsa Roja - 2 oz Portion (56g),The Pitchfork,Add Ons,12,0,0,0,0,80,20,2,0,1,0
Shredded Mozzarella Cheese - 4 oz Portion (113g),The Pitchfork,Add Ons,364,28,18,0,80,770,0,8,0,0,24
Spinach - 1 oz Portion (28g),The Pitchfork,Add Ons,7,0,0,0,0,20,160,1,1,0,1
Swiss Cheese Slice - Slice (21g),The Pitchfork,Add Ons,81,6,4,0,25,20,0,1,0,0,6
Tomato - 4 oz Portion (111g),The Pitchfork,Add Ons,19,0,0,0,0,15,0,4,1,0,1
Veggie Mix - 2 oz Portion (57g),The Pitchfork,Add Ons,10,0,0,0,0,0,85,2,1,1,0
Black Angus Burger - Sandwich (373g),The Pitchfork,Late Night,723,34,13,1.5,170,550,740,44,2,9,56
Cheese Quesadilla - Quesadilla (322g),The Pitchfork,Late Night,775,44,28,0,115,1570,190,62,1,6,35
Falafel Sandwich on Whole Wheat Pita - Sandwich (374g),The Pitchfork,Late Night,814,35,6,0,0,1010,1180,97,5,3,31
Grilled Cheese Sandwich - Sandwich (214g),The Pitchfork,Late Night,827,60,36,0,150,1050,80,48,0,0,30
Mac and Cheese Bites - 15 Piece Portion (340g),The Pitchfork,Late Night,1248,94,25,0,120,3210,0,74,3,5,26
