Food Name,Restaurant,Food Type,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Cooked Eggs - 4 oz Portion (114g),Skillet,Breakfast,170,11,3.5,0,475,320,0,1,0,1,15
Biscuit - Biscuit (72g),Skillet,Breakfast Breads,247,11,3,5,0,710,70,31,< 1,2,3
Biscuits and Gravy - 8 oz Portion (295g),Skillet,Breakfast Breads,1019,66,26,10,70,2630,380,78,2,4,19
Sourdough Toast - Slice (59g),Skillet,Breakfast Breads,152,1.5,0,0,0,300,50,29,1,1,5
Toasted Brioche Bun - Bun (73g),Skillet,Breakfast Breads,218,4.5,0,0,0,370,50,39,1,6,6
Wheat Toast - Slice (61g),Skillet,Breakfast Breads,193,4.5,0,0,0,290,80,31,7,5,6
French Toast - 3 Slice Portion (472g),Skillet,Breakfast Breads,767,20,7,0,340,1100,540,114,3,46,32
Sourdough Toast - 2 Slice Portion (118g),Skillet,Breakfast Breads,305,3,0,0,0,610,100,59,2,2,10
Toasted Brioche Bun - Bun (73g),Skillet,Breakfast Breads,218,4.5,0,0,0,370,50,39,1,6,6
Wheat Toast - 2 Slice Portion (123g),Skillet,Breakfast Breads,387,9,0,0,0,580,160,62,14,10,12
Cheddar Cheese Slice - Slice (21g),Skillet,Breakfast Fillings,82,7,4,0,20,140,0,0,0,0,5
Cooked Eggs - 4 oz Portion (114g),Skillet,Breakfast Fillings,170,11,3.5,0,475,320,0,1,0,1,15
Vegetarian Sausage Patty - 2 Piece Portion (84g),Skillet,Breakfast Fillings,155,5,0,0,0,550,220,9,2,2,20
Chocolate Chips - .5 oz Portion (14g),Skillet,Toppings,66,4,2.5,0,0,0,0,9,< 1,8,< 1
Fresh Berries - 2 oz Portion (57g),Skillet,Toppings,28,0,0,0,0,0,20,6,2,5,0
Waffle - Waffle (137g),Skillet,Breakfast,217,2.5,0,0,0,670,0,43,< 1,4,4
Whipped Cream - 1.5 oz Portion (11g),Skillet,Toppings,44,4,2.5,0,15,0,10,1,0,1,0
Buttermilk Pancakes - 2 Pancake Portion (87g),Skillet,Breakfast,191,5,1.5,0,< 5,490,0,30,2,9,5
Banana - 1 oz Portion (28g),Skillet,Toppings,27,0,0,0,0,0,90,6,0,0,0
Brown Sugar - 1 Tablespoon Portion (13g),Skillet,Toppings,50,0,0,0,0,0,0,13,0,13,0
Chocolate Chips - .5 oz Portion (14g),Skillet,Toppings,66,4,2.5,0,0,0,0,9,< 1,8,< 1
Cinnamon Oatmeal - 8 oz Portion (227g),Skillet,Toppings,204,3,0.5,0,0,150,150,39,4,14,5
Dried Cranberries - .5 oz Portion (14g),Skillet,Toppings,46,0,0,0,0,0,0,12,1,10,0
