Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Blueberry Bagel - Bagel (128g),Twinnies,320,1.5,0,0,0,580,90,65,2,4,12
Cinnamon Raisin Bagel - Bagel (128g),Twinnies,320,1.5,0,0,0,580,90,65,2,4,12
Cream Cheese - 1 oz Portion (28g),Twinnies,67,6,4,0,20,170,0,3,0,1,3
Plain Bagel - Bagel (128g),Twinnies,320,1.5,0,0,0,580,90,65,2,4,12
Egg and Cheese Biscuit - Sandwich (113g),Twinnies,313,20,7,4,135,760,55,21,1,3,12
Plain Omelet - Omelet (150g),Twinnies,331,27,7,0,545,450,210,1,0,0,18
Cheddar Cheese - 5 oz Portion (142g),Twinnies,557,46,25,0,125,910,0,5,0,0,35
Green Pepper - 2 oz Portion (57g),Twinnies,16,0,0,0,0,160,95,4,1,2,0
Ham - 3 oz Portion (71g),Twinnies,25,3.5,1,0,30,780,0,4,0,2,11
Onion - 2 oz Portion (48g),Twinnies,21,0,0,0,0,0,80,5,1,2,1
Red Pepper - 2 oz Portion (57g),Twinnies,16,0,0,0,0,160,95,4,1,2,0
Home Fries - Portion (129g),Twinnies,98,0,0.5,0,0,300,20,22,3,1,3
Wheat Toast - Slice (60g),Twinnies,4619,46,0,0,0,7390,0,970,92,139,185
Blueberry Muffin - Muffin (79g),Twinnies,265,14,5,0,5,240,0,33,0,18,4
Chocolate Chip Muffin - Muffin (94g),Twinnies,361,20,8,0,10,200,0,44,2,26,5
Cranberry Orange Muffin - Muffin (90g),Twinnies,285,16,5,0,10,270,0,36,2,19,3
Tomato Basil Soup - 12 oz Portion (340g),Twinnies,414,31,10,0,50,1210,680,28,4,22,6
Caprese Sandwich - Sandwich (298g),Twinnies,671,31,16,0,95,4100,0,54,3,3,30
Cuban Sandwich - Sandwich (276g),Twinnies,668,34,9,0,85,1920,210,49,2,3,30
Veggie Panini - Sandwich (285g),Twinnies,599,40,7,0,40,790,250,49,3,8,14
Cheese Tortellini - Bowl (418g),Twinnies,1097,60,17,0,135,1700,0,102,3,7,38
Chef Salad - Salad (690g),Twinnies,556,28,12,0,560,1990,1060,21,6,12,56
Cobb Salad - Salad (611g),Twinnies,774,51,20,0,350,1650,650,21,10,6,110
Fresh Fruit Salad - Container (418g),Twinnies,156,0,0,0,0,50,470,39,3,36,3
Hummus and Pita - Container (245g),Twinnies,350,9,1.5,0,0,1580,180,57,5,5,13
Quinoa Salad Bowl - Bowl (427g),Twinnies,522,17,2,0,0,720,880,87,10,41,10
Santa Fe Bowl - Bowl (530g),Twinnies,532,22,2.5,0,0,2020,660,57,10,14,33
Spinach Salad - Bowl (595g),Twinnies,171,1,0,0,0,230,1600,33,6,18,10
Tuna Over Tomato - 5.3 oz Portion (150g),Twinnies,302,22,3.5,0,35,730,380,10,1,5,14
Bavarian Cream Chocolate Eclaire - Eclair (57g),Twinnies,210,12,10,0,40,125,0,25,0,20,2
Chocolate Cake - Slice (107g),Twinnies,429,17,6,0,40,40,0,64,3,46,4
Plain New York Cheesecake - Slice (85g),Twinnies,330,24,14,1,105,270,0,22,1,18,5
Pound Cake - Slice (19g),Twinnies,75,4,2,0,25,55,0,9,0,5,1
Americano - 16 oz (454g),Twinnies,1,0,0,0,0,0,0,0,0,0,0
Apple Cider - 16 oz (453g),Twinnies,282,0,0,0,0,55,470,71,0,71,0
Cafe Au Lait 2% Milk - 16 oz (454g),Twinnies,111,4.5,2.5,0,20,115,310,11,0,11,7
Cafe Latte 2% Milk - 12 oz (340g),Twinnies,161,7,4,0,25,160,460,16,0,16,11
Cafe Mocha 2% Milk - 12 oz (340g),Twinnies,359,6,3,0,20,120,340,72,5,65,10
Cappuccino 2% Milk - 20 oz (567g),Twinnies,260,11,6,0,45,260,740,26,0,26,17
Caramel Macchiato 2% Milk - 16 oz (454g),Twinnies,290,9,6,0,40,220,640,38,0,38,15
Caramel Macchiato Oat Milk - 20 oz (567g),Twinnies,389,17,2.5,0,0,250,0,53,0,26,2
Caramel Macchiato Whole Milk - 12 oz (347g),Twinnies,255,11,7,0,50,160,470,27,0,12,11
Chai Latte 2% Milk - 16 oz (454g),Twinnies,257,5,3,0,20,125,340,45,2,42,8
Espresso Shot - Shot (28g),Twinnies,0,0,0,0,0,0,0,0,0,0,0
Hot Tea - 12 oz (340g),Twinnies,0,0,0,0,0,0,3400,0,0,0,0
Macchiato 2% Milk - 3 oz (85g),Twinnies,27,1,0.5,0,5,30,75,3,0,3,2
Macchiato Oat Milk - 3 oz (92g),Twinnies,32,1.5,0,0,0,25,0,3,0,1,0
Macchiato Whole Milk - 3 oz (92g),Twinnies,35,2,1,0,10,30,80,2,0,0,2
Steamer 2% Milk - 12 oz (340g),Twinnies,178,7,4.5,0,30,180,510,18,0,18,12
Steamer Oat Milk - 16 oz (463g),Twinnies,265,14,2,0,0,210,0,29,0,6,2
Steamer Whole Milk - 16 oz (463g),Twinnies,289,15,10,0,65,230,660,21,0,0,15
Iced Coffee - 16 oz (454g),Twinnies,5,0,0,0,0,10,0,0,0,0,0
