Food Name,Restaurant,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Potassium,Carbs,Dietary Fiber,Sugars,Protein
Egg and Cheese Waffle Smash - Sandwich (209g),Zwelli's,395,25,11,0,315,560,105,24,1,2,18
Homemade Biscuit - Biscuit (57g),Zwelli's,215,10,4,0,0,490,50,26,1,1,3
French Toast - 2 Slice Portion (159g),Zwelli's,370,18,7,0,130,310,90,43,1,18,9
Fruit Medley - 6 oz Portion (170g),Zwelli's,66,0,0,0,0,20,180,16,2,13,1
Grits - 4 oz Portion (113g),Zwelli's,58,1.5,1,0,5,105,20,10,0,0,1
Homemade Biscuit - Biscuit (57g),Zwelli's,215,10,4,0,0,490,50,26,1,1,3
Scrambled Eggs - 4.4 oz Portion (124g),Zwelli's,187,14,3.5,0,395,130,135,1,0,1,13
Sweet Potato Hash - 4 oz Portion (113g),Zwelli's,120,1,0,0,0,300,530,26,4,3,2
Toast - Slice (34g),Zwelli's,90,1,0,0,0,160,30,16,1,1,3
Vegan Oatmeal - 4 oz Portion (112g),Zwelli's,274,4,0,0,0,50,15,47,0,4,12
Garden Veggie Panini - Sandwich (204g),Zwelli's,282,9,1,0,0,1580,500,44,6,4,6
Italian Panini - Sandwich (397g),Zwelli's,1029,63,27,0,215,4480,160,39,2,2,62
Grilled Cheese Sandwich - Sandwich (213g),Zwelli's,965,77,34,0,205,1370,50,36,2,6,27
Grilled Portabella Mushroom - Portion (217g),Zwelli's,75,3,0,0,0,60,870,9,4,5,6
Chakalaka - 6 oz Portion (170g),Zwelli's,166,3.5,0,0,0,230,280,33,8,9,6
Fruit Medley - 6 oz Portion (170g),Zwelli's,66,0,0,0,0,20,180,16,2,13,1
Garlic Mashed Potatoes - 5 oz Portion (142g),Zwelli's,166,6,2.5,0,10,1250,700,25,2,2,3
Green Beans and Potatoes - 3 oz Portion (85g),Zwelli's,82,5,0,0,0,340,210,9,2,2,2
Honey Glazed Carrots - 5 oz Portion (142g),Zwelli's,151,8,0.5,0,0,240,280,22,3,16,1
Jollof Rice - 4 oz Portion (121g),Zwelli's,122,1,0,0,0,210,50,25,1,0,3
Macaroni and Cheese - 6 oz Portion (170g),Zwelli's,405,26,13,0,55,410,95,26,1,87,17
Sadza - 4 oz Portion (113g),Zwelli's,278,0,0,0,0,25,0,58,5,0,5
Sauteed Curry Cabbage - 6 oz Portion (170g),Zwelli's,59,2,0,0,0,95,330,10,4,5,2
Soft Roll - Batch (2037g),Zwelli's,5775,145,60,0,500,11880,2820,920,53,539,168
Tomato Basil Soup - 8 oz Portion (227g),Zwelli's,230,17,7,0,25,630,410,15,1,66,1
Zimbabwean Collards - 2.6 oz Portion (74g),Zwelli's,58,5,0.5,0,0,310,55,3,2,1,1
Gala Apple - Apple (145g),Zwelli's,78,0,0,0,0,0,0,20,3,15,1
Banana - Banana (113g),Zwelli's,110,0,0,0,0,0,370,26,2,0,1
